,lat,lon,loc
0,51.2561844,1.3505890,WORTH
1,51.2364729,1.3572013,HACKLINGE
2,51.2661709,1.3863067,SANDWICH BAY
3,51.2704600,1.3610670,SANDOWN
4,51.2751129,1.3450678,SANDWICH
5,51.2507172,1.3910824,GREENACRES
6,51.2251959,1.3846437,SHOLDEN
